dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_seen_avg,accuracy_final,forward_transfer,backward_transfer,ece_all_avg,ece_seen_avg,ece_final,ace_all_avg,ace_seen_avg,ace_final,sce_all_avg,sce_seen_avg,sce_final,brier_all_avg,brier_final,duration_s
core50,ewc,04,10,0.11629781872034073,0.3246597945690155,0.09374566376209259,0.0,-0.762121856212616,0.3786217573308945,0.20760433090018865,0.28565350658893585,0.02320371677117953,0.0099338700038424,0.01489172878789902,0.021725520461273195,0.010670464368308756,0.01442972319030762,1.1738918875694244,1.0938077034404137,5138.8156163604
core50,inflora,00,10,0.18586181104183197,0.4353155493736267,0.18429014086723328,0.0,-0.5962652564048767,0.3148026894780248,0.11911582488325922,0.2188197855196893,0.020636031871737914,0.005021580706020336,0.011610614542007444,0.018752062564086916,0.005703803514499076,0.011571828399658203,1.0850387959272632,1.0070830965750062,4141.607105304021
core50,inflora,01,10,0.1783687025308609,0.4185478091239929,0.1968287229537964,0.0,-0.6152363419532776,0.32146510214686397,0.1353503205281263,0.20914359151199463,0.020683978782676537,0.00601877236746224,0.009753925793409349,0.01915943540649414,0.0066312500903653775,0.009769730590820312,1.0899903404044722,0.9839724207737665,4230.4794262629
core50,inflora,02,10,0.17447999119758606,0.4115065038204193,0.19285061955451965,0.0,-0.6069831848144531,0.346812897785306,0.1543437633640545,0.23339973347783088,0.021508270547066725,0.006645150735012484,0.01213578539633751,0.020114549754333497,0.007501467838825477,0.012077485931396483,1.1133522138613112,1.011510730089427,4158.341798257083
core50,inflora,03,10,0.17514356970787048,0.421647846698761,0.16837367415428162,0.0,-0.6047583818435669,0.3240925460962206,0.13047180424736501,0.23406741930618882,0.020478593574775012,0.005075669059178491,0.010367171342849731,0.018755403292846678,0.005874752663230691,0.010662630432128907,1.0961834242474875,1.0225530412675166,4145.665965917986
core50,inflora,04,10,0.18476620316505432,0.4353480339050293,0.20728699862957,0.0,-0.5595020651817322,0.3136737226376682,0.11598260392579529,0.17596236387193204,0.020181206555879676,0.004832718962380157,0.008749637835502626,0.018581306158447268,0.005511091304025874,0.008799322570800782,1.0843309518204038,0.9598363219391413,4166.899018737953
core50,lora,00,10,0.1066841259598732,0.2977624535560608,0.07470222562551498,0.0,-0.7880160212516785,0.42575609587699176,0.2692149116407363,0.45629617526531224,0.024899419009938514,0.012448588280779669,0.023346107934027915,0.023478450631713867,0.013145792208647583,0.02199267193603515,1.2206013109580132,1.2668543916490467,3882.1225160090253
core50,lora,01,10,0.11034353822469711,0.3115271031856537,0.07908305525779724,0.0,-0.7897047996520996,0.4390184890269488,0.27828998954194367,0.5308217212557792,0.02538200927280402,0.012830270043048347,0.024506788064032795,0.023895238940429685,0.013226307469837596,0.023963383697509763,1.2307460898398241,1.340784089376204,3973.801921433769
core50,lora,02,10,0.11505801975727081,0.3269914388656616,0.07049611955881119,0.0,-0.818810760974884,0.41445906974554053,0.24612096708251455,0.46356039420366285,0.024389980105735315,0.011574626750337864,0.021029888697266578,0.022684667306518552,0.011971859690891437,0.020459609069824216,1.2012578090158335,1.2678183911965673,3896.611217481084
core50,lora,03,10,0.10807816684246063,0.30646398663520813,0.07429233193397522,0.0,-0.7903469800949097,0.4372807327681779,0.28643711587673665,0.4250580633416772,0.026025758576305215,0.013644086261832795,0.02402857038098574,0.024091267742919927,0.01404440094939915,0.022609478332519528,1.2294027891574548,1.2460427390735018,3906.5454474329017
core50,lora,04,10,0.10848657041788101,0.3130800724029541,0.08117668330669403,0.0,-0.8271691799163818,0.4181846329607814,0.25778898801431166,0.3919672110676765,0.024438900677999344,0.011955355125446113,0.01906897205543518,0.02283444141540527,0.01246448457996639,0.01823183770751953,1.209595192648935,1.2034460480566476,3878.4877260234207
core50,rwalk,00,10,0.020124075934290886,0.05988021567463875,0.01994105987250805,0.0,-0.07883469015359879,0.04614560073852539,0.009832852552237268,0.0015461853027343778,0.01825188418638706,0.003518835984503375,0.0020309785766601564,0.008203656079101562,0.0015162636981974973,1.690429687499842e-05,1.0196076217080474,0.9806234996303552,7869.193213172257
core50,rwalk,01,10,0.02129821479320526,0.06886186450719833,0.020867768675088882,0.0,-0.18783514201641083,0.08137573287963865,0.037529230674311645,0.0048539611816406265,0.02200569016543901,0.010277252331180233,0.006639439190864563,0.012215013314819336,0.005221274354993968,8.095703124998826e-06,1.0457895196893328,0.9835674208110948,7826.40834310092
core50,rwalk,02,10,0.019647669047117233,0.05863025784492493,0.021170731633901596,0.0,-0.10068920999765396,0.04659032714843749,0.011422095104789629,4.46197509765614e-05,0.018286672844338416,0.0037351253456321537,0.0023168126220703116,0.00824007671508789,0.001565634404091454,7.650390624999032e-06,1.0197569733405882,0.9806642734679503,7793.151578536723
core50,rwalk,03,10,0.02042493410408497,0.059690605849027634,0.020867768675088882,0.0,-0.08599431067705154,0.04377236999511719,0.005798744963223708,0.0012080093383789077,0.01794613017334938,0.002517724886111566,0.0015295087890625,0.008899860212707519,0.0005983081440157948,8.943359374999349e-06,1.0183743840892154,0.9803219222911388,7767.257381757256
core50,rwalk,04,10,0.020024742931127548,0.056561361998319626,0.02136409282684326,0.0,-0.1545112431049347,0.04678215209960938,0.010120014343908985,0.000534225463867187,0.018459714354324343,0.004130266433267088,0.002320056884765625,0.008398116674804687,0.0017756578362913874,5.92187499999855e-06,1.0204073283764254,0.9807954925004573,7807.757282536011
core50,sdlora,00,10,0.30908191204071045,0.6313136219978333,0.47054409980773926,0.0,-0.28644001483917236,0.3636550475946069,0.10162083356047875,0.16490802614688874,0.019835009383811376,0.0030118715758367135,0.006440882358120987,0.01915464666748047,0.004379325948187426,0.007562645874023438,1.0200304214281144,0.7165429066265186,5342.000388953835
core50,sdlora,01,10,0.3014380633831024,0.6177507042884827,0.46623215079307556,0.0,-0.2647761404514313,0.3595940628947317,0.10070141048849177,0.14187263171672823,0.01972214305554564,0.003029326378568095,0.006225964476835915,0.018982754071044924,0.004332259739242662,0.006834335876464844,1.0269769514184073,0.7126825442922445,5409.42167867301
core50,sdlora,02,10,0.31626981496810913,0.641353964805603,0.47666868567466736,0.0,-0.26129066944122314,0.3407658678469062,0.07775996993635241,0.13945949923992157,0.019415769345451563,0.00249963199361299,0.0060210162434814266,0.018463539794921872,0.0034456752558215805,0.006489305236816406,0.9987842483862698,0.6931693926121364,5351.4879025998525
core50,sdlora,03,10,0.3135876953601837,0.6326075792312622,0.47910767793655396,0.0,-0.2300567775964737,0.3536403573145718,0.09150061069847841,0.13551275877952576,0.01961896379816416,0.0028206249115483423,0.005241709887424019,0.018778686553955082,0.0039940588370352016,0.006036339660644532,1.0112764005315305,0.6834226387033464,5376.360885275062
core50,sdlora,04,10,0.314260870218277,0.6356579661369324,0.4826832711696625,0.0,-0.25157102942466736,0.34591344513818617,0.08619685843500366,0.13098424904346465,0.01942915243123491,0.0026105330597951063,0.0054021949338165,0.018534396966552732,0.003727210205296645,0.006030488830566406,1.005127224740555,0.6826758265103914,5344.304514242336
core50,tball,00,10,0.3220730125904083,0.6437546014785767,0.5016347169876099,0.0,-0.28849080204963684,0.3182586624190212,0.06603933792271081,0.10486491718292236,0.018934931987216894,0.0018790831822661357,0.004279737168878085,0.017608474371337893,0.002774342359078597,0.0046785885620117176,0.9733022979377302,0.6491235874938347,5552.1941869203
core50,tball,01,10,0.32598477602005005,0.6510164737701416,0.5098744630813599,0.0,-0.2740706205368042,0.31397033236905936,0.05882372782483626,0.08943525121212006,0.018770803764380766,0.0017081926752129484,0.003807371044207363,0.017460512908935546,0.0025201964255136093,0.004222988098144532,0.9680066561762531,0.6353112131262766,5527.07544202311
