dataset,method,run_id,task,accuracy_all,accuracy_seen,ace_all,ace_seen,brier_all,ece_all,ece_seen,sce_all,sce_seen
cifar100,replay,2925045_1,6,0.6085,0.8692857,0.0059108031880158824,3.204464238490457e-05,0.5943897697587815,0.2140019919633865,0.026575533577374036,0.005379329071044921,0.000513357445853097
cifar100,replay,2925045_1,7,0.6729,0.841125,0.003981374699985725,6.129838211490991e-05,0.4983834082352843,0.16752139155864718,0.03987603056430815,0.003938885971069335,0.0008191246509552
cifar100,replay,2925045_1,8,0.7544,0.83822227,0.0020602900674649275,8.694191074555156e-05,0.3688332943801492,0.10073788884878156,0.03667529881993934,0.0022684694366455075,0.0007418439568413634
cifar100,replay,2925045_1,9,0.8076,0.8076,0.0001448191256138382,0.0001448191256138382,0.2801158424447185,0.057993418864905805,0.057993418864905805,0.001137875518798828,0.001137875518798828
cifar100,ball,2917144_4,0,0.0985,0.985,0.016692693785873243,2.9233079588892087e-06,1.4107571222861717,0.6134334270000458,0.005348989903926876,0.015396255676269531,0.00010565957397222545
cifar100,ball,2917144_4,1,0.1878,0.939,0.01555334173803113,4.913412768518597e-06,1.2627625110547114,0.539365287169814,0.014768955886364052,0.0141303828125,0.00024021357536315987
cifar100,ball,2917144_4,2,0.2734,0.9113333,0.01363366666041175,1.4324209185190512e-05,1.0909215140814281,0.4423210739195347,0.016570160508155816,0.012109201690673827,0.0002685567474365234
cifar100,ball,2917144_4,3,0.35649997,0.89124995,0.011719874530232335,1.8276829533369966e-05,0.9683457344190323,0.3835563156783581,0.009815152823925009,0.010304944946289061,0.00016236695289611805
cifar100,ball,2917144_4,4,0.43699998,0.87399995,0.009774279419946953,1.1506578293775721e-05,0.836127794341592,0.3121580566525459,0.011261617735028252,0.008469896087646485,0.0001554120941162107
cifar100,ball,2917144_4,5,0.5131,0.8551667,0.00789508402595205,2.4156441122299188e-05,0.717569028905192,0.25051553817987443,0.014160187457998605,0.006833788940429688,0.00022466033935546886
cifar100,ball,2917144_4,6,0.59000003,0.8428572,0.005971763186143072,1.7176302537689744e-05,0.6086385918063133,0.19312400587797163,0.01733765275563509,0.005176594055175781,0.00023483335222516716
cifar100,ball,2917144_4,7,0.6605,0.825625,0.003984413859857072,1.8733100324243398e-05,0.49848415848620586,0.13172567293643955,0.016992278296500456,0.0034706322021484386,0.0002578161430358888
cifar100,ball,2917144_4,8,0.74170005,0.82411116,0.0020088410730904,2.117456007171538e-05,0.37333845633136015,0.06612310633063316,0.014062949359416984,0.0017379512329101564,0.00019179712931315134
cifar100,ball,2917144_4,9,0.807,0.807,3.741337553484339e-05,3.741337553484339e-05,0.27043992876030926,0.01265315691232681,0.01265315691232681,0.00017510057067871097,0.00017510057067871097
cifar100,ball,2919942_0,0,0.098299995,0.983,0.01618971062295977,3.263495257742416e-06,1.3808183175207869,0.5892077124536038,0.004809568881988565,0.014861799468994139,0.00013636029481887857
cifar100,ball,2919942_0,1,0.18900001,0.94500005,0.015298596539339984,6.805111197835486e-06,1.2389196497359336,0.5227645626306534,0.009827886581420952,0.013863084564208988,0.0001546041250228887
cifar100,ball,2919942_0,2,0.2763,0.921,0.013488671194694296,1.3536794743922057e-05,1.0689641963793024,0.42632043399810793,0.009346119761466907,0.011861392883300783,0.00015528681437174406
cifar100,ball,2919942_0,3,0.35829997,0.8957499,0.01172231681352854,1.3944191517806662e-05,0.9732099321614878,0.3924126058816909,0.014842071875929836,0.010344649353027344,0.00025294339179992675
cifar100,ball,2919942_0,4,0.43900004,0.87799996,0.009786689196902603,1.269140565807314e-05,0.8408358485765072,0.3226351857304573,0.015312912714481377,0.008558226684570312,0.00024585137939453147
cifar100,ball,2919942_0,5,0.5151,0.8585,0.007868418418129935,4.869592730034907e-06,0.7248183289706701,0.2625314987421036,0.017908348523080375,0.006937296844482423,0.00032019163767496773
cifar100,ball,2919942_0,6,0.5921,0.84585714,0.005952569972166326,1.241742564714459e-05,0.6117029000848042,0.20350647879838946,0.016661239306841588,0.0052937209625244135,0.00032083893912179134
cifar100,ball,2919942_0,7,0.66620004,0.8327501,0.003966340339892065,1.107000093645293e-05,0.494842635354407,0.1394921643078327,0.015126048766076554,0.003564053619384765,0.0002766593360900878
cifar100,ball,2919942_0,8,0.7453,0.8281111,0.0019844700153975716,1.8765041629005443e-05,0.37134970489453983,0.07280414934307336,0.01449148464368451,0.0018442221527099612,0.00024240893893771713
cifar100,ball,2919942_0,9,0.81280005,0.81280005,2.1942505289511127e-05,2.1942505289511127e-05,0.26417658807513683,0.014438341575860963,0.014438341575860963,0.0002545157165527344,0.0002545157165527344
cifar100,ball,2924856_3,0,0.0986,0.986,0.016224270282431043,2.671433884714499e-06,1.3932432563448933,0.5972246910572052,0.006250809282064392,0.015238483093261718,0.00014390478253364518
cifar100,ball,2924856_3,1,0.19070001,0.95350003,0.015409996878058885,4.931684159410034e-06,1.2561751873304192,0.5354436960756779,0.014435671150684361,0.014123113739013671,0.00022978341102600105
cifar100,ball,2924856_3,2,0.2754,0.91800004,0.013567345768078347,7.524133740044396e-06,1.0794538826152797,0.4333803716897965,0.014733653565247834,0.012034470855712891,0.0002085207557678221
cifar100,ball,2924856_3,3,0.35999998,0.9,0.011710686828981009,1.352329000302695e-05,0.9651036217552348,0.3805764636993408,0.018298683255910893,0.010310791595458984,0.00024471234321594255
cifar100,ball,2924856_3,4,0.44040003,0.88079995,0.009759554148484475,1.9450132226927865e-05,0.8415871689458667,0.3151632474899292,0.016399408411979614,0.008518004882812501,0.00020294131469726493
cifar100,ball,2924856_3,5,0.5149,0.85816664,0.00790216539287621,3.119924520984021e-05,0.7179113285614598,0.2509935844540596,0.01603597094615302,0.006822623565673828,0.00026454612731933606
cifar100,ball,2924856_3,6,0.5917,0.8452858,0.005949568221660069,2.0350132806957255e-05,0.6101725527533859,0.19670011008977886,0.015584551762257318,0.005151421539306641,0.00022156709943498907
cifar100,ball,2924856_3,7,0.66200006,0.82750005,0.00396332313268073,2.330952004101256e-05,0.4991147934257139,0.13526565351486206,0.01685575163364409,0.0034298781127929693,0.00026462268829345695
cifar100,ball,2924856_3,8,0.7429,0.82544446,0.001991094786879169,9.29982568475331e-06,0.37353619588243725,0.0676068924665451,0.014953011416726603,0.001721227081298828,0.00022187011718749952
cifar100,ball,2924856_3,9,0.8115999,0.8115999,1.788544330702288e-05,1.788544330702288e-05,0.268442094608245,0.01591021414995194,0.01591021414995194,0.00022676033020019532,0.00022676033020019532
cifar100,ball,2924483_2,0,0.098400004,0.984,0.01674091193848895,2.296694864579386e-06,1.4068715425008855,0.6096997314929962,0.006656788408756225,0.015580648864746093,0.00010467867195606202
cifar100,ball,2924483_2,1,0.1903,0.9515,0.015593750965799787,6.706043882876655e-06,1.2475884944920006,0.5262611119925976,0.010417547285556855,0.01405061477661133,0.00020280741691589417
cifar100,ball,2924483_2,2,0.2778,0.92599994,0.01363332487446035,1.3897430051661809e-05,1.0730670631398975,0.4268177867770195,0.012434151411056525,0.01195633529663086,0.0002462674458821615
cifar100,ball,2924483_2,3,0.3603,0.90075004,0.011746131934234058,1.8269021273923545e-05,0.962895887850669,0.377434546148777,0.007809027016162872,0.010278849273681641,0.00020536692619323724
cifar100,ball,2924483_2,4,0.4408,0.8815999,0.00986017585591377,1.488516130878324e-05,0.8336942221369446,0.30915374643802646,0.012580811969935863,0.008476080932617187,0.00018038990783691373
cifar100,ball,2924483_2,5,0.517,0.8616667,0.007918649101448596,1.251659170218207e-05,0.7126547024013529,0.24459867334365842,0.012690039263417345,0.0067534177551269526,0.00021869260152181016
cifar100,ball,2924483_2,6,0.59070003,0.84385717,0.005962509430120758,1.247315855546029e-05,0.6086111130877149,0.1951938780128956,0.011944245495966538,0.005138255462646483,0.00017507420131138428
cifar100,ball,2924483_2,7,0.66679996,0.83349997,0.003969304778413788,1.1818450456812924e-05,0.49490052118943806,0.13024876059293747,0.01339885566383605,0.0034527113494873048,0.00019679704666137742
cifar100,ball,2924483_2,8,0.74490005,0.8276667,0.0019965037288516624,1.8446528670059318e-05,0.3704131565223257,0.0652556555628777,0.013607917984326678,0.001738302139282227,0.00020540947808159716
cifar100,ball,2924483_2,9,0.8147,0.8147,2.123268246329174e-05,2.123268246329174e-05,0.264549385821465,0.011936795580387113,0.011936795580387113,0.00017147003173828134,0.00017147003173828134
cifar100,ball,2924430_1,0,0.099,0.99,0.01656924236120004,3.4218112583036164e-06,1.3953035074215143,0.6011706725358963,0.009041542559862165,0.015343912689208983,0.0001583774387836459
