dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,replay,2926800_2,3,0.23436892733854406,0.23529411764705882,0.0068
cifar100,replay,2926800_2,4,0.30211855017620587,0.26811594202898553,0.0138
cifar100,replay,2926800_2,5,0.3689428541395399,0.3,0.018
cifar100,replay,2926800_2,6,0.43357801036674437,0.39915966386554624,0.0238
cifar100,replay,2926800_2,7,0.5003942307971773,0.4851190476190476,0.0336
cifar100,replay,2926800_2,8,0.5650455377594945,0.48725212464589235,0.0353
cifar100,replay,2926800_2,9,0.6337303320566813,0.5494791666666666,0.0384
cifar100,replay,2926800_2,10,0.6979523453057981,0.5637254901960784,0.0408
cifar100,replay,2926800_2,11,0.7693923916211373,0.6347438752783965,0.0449
cifar100,replay,2926800_2,12,0.8342571902232737,0.7317939609236235,0.0563
cifar100,replay,2926800_2,13,0.903408720999053,0.7818181818181819,0.0825
cifar100,replay,2926800_2,14,0.9883444946653935,0.9591497841248755,0.6022
cifar100,replay,2925045_1,0,0.0,0.0,0.0
cifar100,replay,2925045_1,1,0.12647584080696106,0.0,0.0001
cifar100,replay,2925045_1,2,0.17709602355957033,0.2,0.0025
cifar100,replay,2925045_1,3,0.23814692641749527,0.21212121212121213,0.0066
cifar100,replay,2925045_1,4,0.3022294582280898,0.2932330827067669,0.0133
cifar100,replay,2925045_1,5,0.36654920034457983,0.3005181347150259,0.0193
