dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,tball-mnd,4,1,0.11305267333984376,0.12,0.02
cifar100,tball-mnd,4,2,0.16915867765184858,0.18450704225352113,0.071
cifar100,tball-mnd,4,3,0.23335549884597503,0.2592986184909671,0.0941
cifar100,tball-mnd,4,4,0.30054051712051344,0.33998005982053836,0.1003
cifar100,tball-mnd,4,5,0.36609876478040543,0.3794178794178794,0.0962
cifar100,tball-mnd,4,6,0.433691353633486,0.4730603448275862,0.0928
cifar100,tball-mnd,4,7,0.498997019298041,0.5012437810945274,0.0804
cifar100,tball-mnd,4,8,0.5653049596335269,0.5587808417997098,0.0689
cifar100,tball-mnd,4,9,0.6323567708333333,0.656910569105691,0.0615
cifar100,tball-mnd,4,10,0.6985727748054474,0.6634241245136187,0.0514
cifar100,tball-mnd,4,11,0.7680360610875706,0.7608286252354048,0.0531
cifar100,tball-mnd,4,12,0.8334877549810247,0.8159392789373814,0.0527
cifar100,tball-mnd,4,13,0.9019325244061996,0.9017713365539453,0.0621
cifar100,tball-mnd,4,14,0.9709283280922432,0.949685534591195,0.0954
core50,ball,2,0,0.0,0.0,0.0
core50,ball,2,1,0.11588980481515523,0.1437908496732026,0.0153
core50,ball,2,2,0.17128876716859878,0.1760752688172043,0.0744
core50,ball,2,3,0.23420181599069148,0.2127659574468085,0.1175
core50,ball,2,4,0.29994119180215373,0.27449324324324326,0.1184
core50,ball,2,5,0.3660252094268799,0.314453125,0.1024
core50,ball,2,6,0.4328982398623512,0.3464285714285714,0.084
core50,ball,2,7,0.4990955327181208,0.3946308724832215,0.0745
core50,ball,2,8,0.5668658088235294,0.43962848297213625,0.0646
core50,ball,2,9,0.6320184549614644,0.4682080924855491,0.0519
core50,ball,2,10,0.7003959624873481,0.4817813765182186,0.0494
core50,ball,2,11,0.7659451314155629,0.5298013245033113,0.0453
core50,ball,2,12,0.8342218618972747,0.5513626834381551,0.0477
core50,ball,2,13,0.9026687264841137,0.6020066889632107,0.0598
